lat,lng,csq
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"21,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"23,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7360183,90.4214517,N/A
23.7360183,90.4214517,N/A
23.7360183,90.4214517,"22,99"
23.7381067,90.3971,"27,99"
23.73817,90.39717,"31,99"
23.7381667,90.39717,N/A
23.7381483,90.3971783,N/A
23.7381367,90.3971767,"31,99"
23.73813,90.3971683,N/A
23.7381217,90.3971767,N/A
23.7381133,90.3971767,"31,99"
23.7381167,90.3971783,N/A
23.7381183,90.3971783,N/A
23.738115,90.3971633,"31,99"
23.7381117,90.39713,N/A
23.73811,90.397105,N/A
23.7381133,90.397095,"31,99"
23.738135,90.397075,N/A
23.73815,90.397075,N/A
23.7381433,90.3970817,"31,99"
23.7381517,90.3970817,N/A
23.7381467,90.3970783,N/A
23.7381417,90.3970817,"31,99"
23.738135,90.3970783,N/A
23.7381367,90.3970783,N/A
23.7381233,90.397085,"31,99"
23.7381017,90.3971033,N/A
23.7380883,90.39711,N/A
23.7380783,90.3971183,"31,99"
23.73807,90.3971267,N/A
23.7380683,90.3971333,N/A
23.738065,90.39714,"31,99"
23.7380817,90.39712,N/A
23.7380867,90.3971067,N/A
23.7380967,90.3971017,"31,99"
23.738075,90.3971067,N/A
23.7380583,90.397115,N/A
23.738055,90.3971217,"31,99"
23.738055,90.3971367,N/A
23.73804,90.397145,N/A
23.738025,90.3971433,"31,99"
23.7380083,90.3971467,N/A
23.7380017,90.3971483,N/A
23.7379983,90.397155,"31,99"
23.73802,90.3971817,N/A
23.7380367,90.39719,N/A
23.738055,90.3972017,"31,99"
23.73808,90.3972183,N/A
23.7380917,90.3972167,N/A
23.738115,90.39721,"31,99"
23.7381417,90.3972083,N/A
23.7381517,90.3972017,N/A
23.738155,90.3972,"31,99"
23.7381467,90.3971983,N/A
23.73815,90.3971983,N/A
23.7381583,90.39719,"30,99"
23.7381317,90.397175,N/A
23.7381217,90.3971683,N/A
23.738105,90.3971783,"30,99"
23.738085,90.3972117,N/A
23.73808,90.3972167,N/A
23.73819,90.39734,"31,99"
23.7381917,90.3973433,N/A
23.7382017,90.397345,N/A
23.7381983,90.397345,"31,99"
23.7381833,90.3973333,N/A
23.7381767,90.3973333,N/A
23.7381683,90.3973333,"31,99"
23.7381383,90.3973267,N/A
23.7381283,90.3973167,N/A
23.738115,90.39731,"31,99"
23.7380883,90.39726,N/A
23.7380767,90.39723,N/A
23.7381,90.39728,"29,99"
23.7380967,90.3972583,N/A
23.7381,90.397245,N/A
23.7381033,90.3972867,"31,99"
23.7381017,90.3972917,N/A
23.7380983,90.3972933,N/A
23.7380867,90.39728,"31,99"
23.7380933,90.3972883,N/A
23.738095,90.3972933,N/A
23.7380967,90.3972917,"31,99"
23.7380933,90.397285,N/A
23.7380883,90.3972817,N/A
23.7380867,90.39729,"31,99"
23.738085,90.397295,N/A
23.7380917,90.3973017,N/A
23.7381633,90.3973083,"12,99"
23.7381633,90.3973067,N/A
23.7381733,90.39731,N/A
23.7381667,90.3973017,"13,99"
23.73815,90.3972817,N/A
23.73815,90.3972867,N/A
23.738145,90.3972783,"13,99"
23.7381267,90.3972617,N/A
23.7381217,90.397255,N/A
23.7381317,90.3972583,"16,99"
23.7381333,90.3972583,N/A
23.73814,90.3972533,N/A
23.7381383,90.3972533,"16,99"
23.7381433,90.397255,N/A
23.7381467,90.3972467,N/A
23.7381583,90.3972433,"16,99"
23.7381667,90.397275,N/A
23.738155,90.397265,N/A
23.738155,90.3972783,"15,99"
23.7381267,90.397285,N/A
